no,name,start,end,labelpos,arrpos
1,b1,X,Y,0.5,0.84
1,b2,M,Y,0.5,0.84
1,b3,XM,Y,0.5,0.84
2,b1,X,Y,0.5,0.84
2,b2,M,Y,0.5,0.84
2,b3,W,Y,0.5,0.84
2,b4,XM,Y,0.5,0.83
2,b5,XW,Y,0.5,0.83
76,a1i,X,Mi,0.5,0.76
76,a2i,W,Mi,0.5,0.79
76,a3i,Z,Mi,0.5,0.83
76,a4i,XW,Mi,0.5,0.86
76,a5i,XZ,Mi,0.5,0.88
76,b1i,Mi,Y,0.5,0.82
76,b2i,MiW,Y,0.5,0.84
76,b3i,MiZ,Y,0.5,0.84
76,c1,X,Y,0.5,0.84
76,c2,W,Y,0.5,0.84
76,c3,Z,Y,0.5,0.84
76,c4,XW,Y,0.5,0.84
76,c5,XZ,Y,0.5,0.82
4,ai,X,Mi,0.5,0.80
4,bi,Mi,Y,0.5,0.82
4,c,X,Y,0.5,0.84
5,ai,X,Mi,0.5,0.80
5,bi,Mi,Y,0.5,0.82
5,c1,X,Y,0.5,0.84
5,c2,W,Y,0.5,0.82
5,c3,XW,Y,0.5,0.79
7,a1i,X,Mi,0.5,0.80
7,bi,Mi,Y,0.5,0.82
7,c,X,Y,0.5,0.84
7,a2i,W,Mi,0.5,0.84
7,a3i,XW,Mi,0.5,0.87
8,a1i,X,Mi,0.5,0.80
8,bi,Mi,Y,0.5,0.82
8,c1,X,Y,0.5,0.84
8,a2i,W,Mi,0.5,0.84
8,a3i,XW,Mi,0.5,0.87
8,c2,W,Y,0.5,0.82
8,c3,XW,Y,0.5,0.80
9,a1i,X,Mi,0.5,0.80
9,bi,Mi,Y,0.5,0.82
9,a2i,W,Mi,0.5,0.84
9,a3i,Z,Mi,0.5,0.87
9,c,X,Y,0.5,0.85
9,a4i,XW,Mi,0.5,0.89
9,a5i,XZ,Mi,0.5,0.89
10,a1i,X,Mi,0.5,0.80
10,bi,Mi,Y,0.5,0.82
10,a2i,W,Mi,0.5,0.84
10,a3i,Z,Mi,0.5,0.87
10,c1,X,Y,0.5,0.85
10,a4i,XW,Mi,0.5,0.89
10,a5i,XZ,Mi,0.5,0.89
10,c2,W,Y,0.5,0.83
10,c3,Z,Y,0.5,0.83
10,c4,XW,Y,0.5,0.81
10,c5,XZ,Y,0.5,0.78
14,ai,X,Mi,0.5,0.80
14,bi,Mi,Y,0.5,0.82
14,c,X,Y,0.5,0.84
14,b2,V,Y,0.5,0.84
14,b3i,MiV,Y,0.5,0.87